endDate	PROLIFIC_PID	QID2	recordedDate	_recordId	userLanguage	responseId	progress	QID5	locationLatitude	finished	QID1	status	QID8	QID3	QID4	locationLongitude	ipAddress	startDate	duration	distributionChannel	QID6
2023-12-25T15:59:22Z	559ae660fdf99b361ac4662c	1	2023-12-25T15:59:23.468Z	R_6jSPT1RsekHEO7E	EN	R_6jSPT1RsekHEO7E	100	1	44.9548	1	1	0	5	2	4	-93.1551	174.20.60.209	2023-12-25T15:55:59Z	203	anonymous	1
2023-12-25T15:59:38Z	63bc8a7755c8f23d7bfa3d65	1	2023-12-25T15:59:39.444Z	R_6b28ipstbAG0V5A	EN	R_6b28ipstbAG0V5A	100	3	33.7485	1	1	0	5	2	4	-84.3871	107.77.232.25	2023-12-25T15:56:03Z	215	anonymous	1
2023-12-25T15:59:49Z	5d851419d126db0001cf0396	1	2023-12-25T15:59:49.910Z	R_7HIGWj8uTydiSmu	EN	R_7HIGWj8uTydiSmu	100	4	39.214	1	1	0	5	1	4	-94.7191	136.35.232.68	2023-12-25T15:57:26Z	143	anonymous	2
2023-12-25T16:00:53Z	6581a4070f9c1b2a8087e758	3	2023-12-25T16:00:54.410Z	R_6U9FosDLjBmZXbq	EN	R_6U9FosDLjBmZXbq	100	3	40.0818	1	4	0	2	1	4	-82.9665	172.59.33.191	2023-12-25T15:55:34Z	319	anonymous	3
2023-12-25T16:01:30Z	65269d090fba3d983ba6a949	1	2023-12-25T16:01:31.299Z	R_19l4HRAF7jpf71L	EN	R_19l4HRAF7jpf71L	100	2	35.4838	1	1	0	5	2	4	-80.6031	69.40.192.114	2023-12-25T15:59:19Z	131	anonymous	1
2023-12-25T16:02:29Z	595bee9282be5500017ad683	1	2023-12-25T16:02:30.129Z	R_3iCgJBQI3OwVpVw	EN	R_3iCgJBQI3OwVpVw	100	3	33.5484	1	1	0	5	2	4	-86.8927	107.146.135.79	2023-12-25T16:01:10Z	78	anonymous	1
2023-12-25T16:03:08Z	5dd6f563270f44688d3cd745	1	2023-12-25T16:03:09.222Z	R_3k0omBgqDSArT7c	EN	R_3k0omBgqDSArT7c	100	3	47.8977	1	1	0	4	2	4	-97.0394	140.186.119.105	2023-12-25T16:01:12Z	116	anonymous	3
2023-12-25T16:03:09Z	55c65b6cfdf99b537b7f9dc7	1	2023-12-25T16:03:09.781Z	R_623CjzF9tEnGf9r	EN	R_623CjzF9tEnGf9r	100	3	28.7115	1	1	0	1	1	4	-81.5135	184.90.141.95	2023-12-25T16:01:34Z	94	anonymous	2
2023-12-25T16:04:24Z	64543d5ed0c75f8501046ef4	1	2023-12-25T16:04:25.275Z	R_6jrY3qgmrzLu7nl	EN	R_6jrY3qgmrzLu7nl	100	3	33.6128	1	1	0	5	2	4	-117.6622	104.53.140.14	2023-12-25T16:02:56Z	88	anonymous	1
2023-12-25T16:04:50Z	60fcf2039a5cdfcc26e4d063	1	2023-12-25T16:04:50.944Z	R_3dWLDVSNn3wkPyc	EN	R_3dWLDVSNn3wkPyc	100	3	33.5038	1	1	0	5	2	4	-112.0253	71.209.177.44	2023-12-25T16:01:02Z	228	anonymous	1
2023-12-25T16:05:09Z	6081ca47eeed1bb51c1d7f7b	1	2023-12-25T16:05:09.645Z	R_5zUuVp6fu4dCaW8	EN	R_5zUuVp6fu4dCaW8	100	3	40.7359	1	1	0	5	2	4	-73.9904	68.237.205.23	2023-12-25T16:01:58Z	190	anonymous	1
